date,production_adj,production_past_adj,luftdruck_past,lufttemp_past,niederschlag_past,sonnenscheindauer_past,taupunkt_past,windgeschw_past,luftdruck_pred,lufttemp_pred,niederschlag_pred,sonnenscheindauer_pred,taupunkt_pred,windgeschw_pred,day_sin,day_cos,year_sin,year_cos
2021-08-13 08:00:00+00:00,0.3467450555124198,0.4217224548460113,932.0,19.55,0.0,15.0,14.55,0.8500000000000001,931.2712442129628,22.83232060185185,0.2466145833333332,6.393489583333334,17.58400462962963,1.721394675925926,0.8660254037855051,-0.4999999999981528,-0.6657096558719915,-0.74621086435323
2021-08-13 08:15:00+00:00,0.4498638976406596,0.460124650026064,931.9166666666666,20.11666666666667,0.0,15.0,14.266666666666666,0.6333333333333333,931.2400289351853,22.81064236111111,0.2550520833333332,6.351302083333334,17.584120370370368,1.7280729166666664,0.8314696123024421,-0.5555702330197565,-0.6658433628824659,-0.7460915601354627
2021-08-13 08:30:00+00:00,0.4702204449565377,0.4908027497560521,931.95,20.8,0.0,15.0,15.4,1.15,931.2093518518518,22.78614583333333,0.2682291666666665,6.305208333333335,17.585445601851852,1.7343576388888888,0.7933533402985694,-0.6087614289991624,-0.6659770485120035,-0.7459722319599039
2021-08-13 08:45:00+00:00,0.4569336452408027,0.5244366279307359,932.0166666666668,21.23333333333333,0.0,15.0,16.349999999999998,0.7999999999999999,931.1785416666664,22.76121527777778,0.2728124999999998,6.264583333333334,17.587100694444448,1.739230324074074,0.7518398074853924,-0.6593458150927539,-0.6661107127563114,-0.7458528798303852
2021-08-13 09:00:00+00:00,0.5278224918243897,0.5617125274970621,932.1,21.3,0.0,15.0,16.150000000000002,0.9,931.14734375,22.736064814814817,0.2731249999999998,6.220312500000001,17.588709490740744,1.7458101851851853,0.7071067811917878,-0.7071067811813073,-0.6662443556110975,-0.745733503750739
2021-08-13 09:15:00+00:00,0.5456184608821585,0.5830189506712423,932.1166666666668,21.616666666666664,0.0,15.0,16.150000000000002,1.4,931.1159895833334,22.709328703703704,0.2731249999999998,6.1734375,17.58543402777778,1.7522685185185185,0.6593458151038974,-0.7518398074756198,-0.6663779770720705,-0.7456141037247989
2021-08-13 09:30:00+00:00,0.6103769701451924,0.6191147316476105,932.2000000000002,21.45,0.0,15.0,16.9,2.1,931.0852777777778,22.68172453703704,0.2731249999999998,6.126562500000001,17.58137152777778,1.757615740740741,0.6087614290109212,-0.7933533402895466,-0.6665115771349396,-0.7454946797563987
2021-08-13 09:45:00+00:00,0.5984526891055321,0.6382567734720502,932.1833333333334,21.816666666666663,0.0,15.0,17.400000000000002,1.85,931.0543287037036,22.65262731481482,0.2733333333333332,6.080729166666668,17.576915509259262,1.7614120370370372,0.5555702330199808,-0.8314696123022923,-0.6666451557954147,-0.7453752318493735
2021-08-13 10:00:00+00:00,0.5842105315616932,0.6688989912178843,932.1,22.15,0.0,15.0,17.35,1.4500000000000002,931.0236805555556,22.621875,0.2742708333333333,6.035937500000001,17.57197337962963,1.7632291666666668,0.5000000000109888,-0.8660254037780943,-0.6667787130492067,-0.7452557600075587
2021-08-13 10:15:00+00:00,0.5637717546987957,0.6938688653020214,932.1166666666668,22.58333333333333,0.0,15.0,17.599999999999998,1.383333333333333,930.9931944444444,22.58900462962963,0.2757291666666666,5.989062500000001,17.567795138888886,1.7643865740740745,0.442288690228302,-0.8968727415281017,-0.6669122488920265,-0.7451362642347906
2021-08-13 10:30:00+00:00,0.6266673909511612,0.7085869574967927,932.25,22.45,0.0,15.0,17.650000000000002,2.0500000000000003,930.9624131944444,22.55546875,0.2766666666666665,5.942447916666667,17.565509259259258,1.765341435185185,0.3826834323725285,-0.9238795325082056,-0.6670457633195865,-0.7450167445349065
2021-08-13 10:45:00+00:00,0.6509644778324087,0.7169649024358878,932.2999999999998,22.21666666666667,0.0,15.0,17.316666666666666,2.1333333333333333,930.9311747685184,22.52124421296296,0.2768749999999998,5.898177083333334,17.568680555555556,1.7618113425925923,0.3214394653085904,-0.9469301294932628,-0.6671792563275993,-0.7448972009117443
2021-08-13 11:00:00+00:00,0.6062445616367764,0.7470738740283206,932.2999999999998,22.8,0.0,15.0,17.900000000000002,2.1500000000000004,930.8989583333332,22.488640046296297,0.2768749999999998,5.851562500000001,17.57110532407407,1.7569849537037037,0.258819045105819,-0.9659258262881844,-0.6673127279117783,-0.7447776333691426
2021-08-13 11:15:00+00:00,0.6653073042762353,0.7518686041609152,932.2166666666668,22.5,0.0,15.0,17.250000000000004,2.2,930.8662037037036,22.45483217592593,0.2768749999999998,5.805034722222223,17.56972800925926,1.7553067129629627,0.1950903220172033,-0.9807852804030166,-0.6674461780678376,-0.7446580419109408
2021-08-13 11:30:00+00:00,0.6401799481505328,0.7379254631516944,932.2000000000002,22.9,0.0,15.0,17.099999999999998,2.25,930.833443287037,22.421238425925925,0.2768749999999998,5.758680555555555,17.567737268518517,1.753616898148148,0.130526192233267,-0.9914448613720706,-0.6675796067914919,-0.7445384265409792
